x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
1201,2013,2013/5/12,32808,66.85141413,47494,96.39341601,32337,57.74464286,19878,44.73399946,41048,95.63394064
1203,2013,2013/5/13,25051,51.04531747,23053,46.78817154,51729,92.37321429,18805,42.31929067,41365,96.37248963
1205,2013,2013/5/14,30154,61.44347543,27096,54.99380975,36721,65.57321429,24200,54.46034747,41387,96.4237454
1207,2013,2013/5/15,23542,47.97049474,31763,64.46591301,45134,80.59642857,20380,45.86371411,41530,96.75690788
1224,2013,2013/5/24,24043,48.99136034,26881,54.55744759,49368,88.15714286,21192,47.6910613,42231,98.39010298
1227,2013,2013/5/25,26628,54.25870079,26239,53.25444988,43244,77.22142857,22330,50.25204789,41642,97.01784633
1230,2013,2013/5/26,27639,56.31877089,37923,76.9681963,49953,89.20178571,22316,50.2205419,41175,95.9298262
1233,2013,2013/5/27,23622,48.13350721,36703,74.49209474,46443,82.93392857,23364,52.57899001,41881,97.57467033
1255,2013,2013/6/7,37542,76.49767707,41536,84.30111019,37055,66.16964286,29756,66.96372311,41784,97.348679
1258,2013,2013/6/8,44574,90.82647323,29840,60.56300867,37544,67.04285714,27943,62.8836979,42597,99.24281254
1261,2013,2013/6/9,38222,77.88328307,30477,61.85585842,40040,71.5,30656,68.98910793,41512,96.71497134
1277,2013,2013/6/17,19354,39.43679191,34590,70.20356802,44196,78.92142857,43627,98.17940409,41250,96.10456176
1280,2013,2013/6/19,26867,54.74570055,33668,68.33228471,47164,84.22142857,31098,69.98379692,41981,97.80765109
1284,2013,2013/6/21,27819,56.68554894,33736,68.47029693,52716,94.13571429,26265,59.10748042,41559,96.8244723
1286,2013,2013/6/22,30567,62.2850273,37017,75.12938645,39028,69.69285714,24695,55.57430912,41981,97.80765109
1289,2013,2013/6/23,30723,62.60290162,36114,73.29666538,38275,68.34821429,25610,57.63345036,41884,97.58165975
1309,2013,2013/7/5,45505,92.72353085,35516,72.0829697,42844,76.50714286,20400,45.90872266,41866,97.53972322
1310,2013,2013/7/6,22395,45.63330345,45186,91.70911895,41927,74.86964286,22733,51.1589702,41290,96.19775407
1312,2013,2013/7/7,22090,45.0118184,34387,69.79156096,40994,73.20357143,19411,43.68304978,41490,96.66371558
1315,2013,2013/7/8,22614,46.07955009,38428,77.99313998,47193,84.27321429,31976,71.95967234,41683,97.11336844
1318,2013,2013/7/9,23409,47.69948651,44612,90.54413347,41721,74.50178571,40342,90.78674948,41697,97.14598574
1321,2013,2013/7/10,24466,49.85328878,37419,75.94528221,51037,91.1375,33243,74.81096408,41911,97.64456456
1323,2013,2013/7/11,17531,35.72214524,48628,98.6949727,48828,87.19285714,24050,54.12278333,41638,97.0085271
1326,2013,2013/7/12,19681,40.10310539,48794,99.03188488,52455,93.66964286,29207,65.72823837,41094,95.74111178
1328,2013,2013/7/13,33566,68.39595729,43976,89.25331331,42405,75.72321429,26450,59.52380952,41497,96.68002423
1331,2013,2013/7/14,25057,51.0575434,45616,92.58184327,52740,94.17857143,44124,99.29786659,41534,96.76622711
1340,2013,2013/7/22,21288,43.37761839,43108,87.49162794,50796,90.70714286,44184,99.43289225,41679,97.10404921
1343,2013,2013/7/23,21278,43.35724183,31913,64.77035173,51992,92.84285714,43504,97.90260149,41924,97.67485206
1345,2013,2013/7/24,21141,43.07808297,34223,69.45870796,51402,91.78928571,29415,66.1963273,41742,97.25082708
1348,2013,2013/7/25,23341,47.56092591,30900,62.7143756,53275,95.13392857,21206,47.72256729,41949,97.73309725
1351,2013,2013/7/26,22279,45.39693537,33165,67.31140022,51841,92.57321429,21812,49.0863264,41797,97.3789665
1355,2013,2013/7/27,30033,61.19691906,32740,66.44882385,52675,94.0625,25604,57.61994779,41512,96.71497134
1359,2013,2013/7/28,24864,50.66427582,38012,77.14882994,48671,86.9125,36974,83.20730939,41797,97.3789665
1372,2013,2013/8/6,19458,39.64870813,33237,67.4575308,52447,93.65535714,24704,55.59456297,41953,97.74241648
1375,2013,2013/8/7,18733,38.17140761,37444,75.996022,53013,94.66607143,24850,55.92312539,41608,96.93863287
1379,2013,2013/8/9,25187,51.32243867,40728,82.6612003,51083,91.21964286,21381,48.11639211,42217,98.35748567
1385,2013,2013/8/10,42450,86.49849213,44657,90.63546508,52619,93.9625,19126,43.04167792,41426,96.51460789
1387,2013,2013/8/11,28260,57.58415519,30986,62.88892046,52248,93.3,23561,53.02232424,41416,96.49130982
1391,2013,2013/8/12,18889,38.48928193,30366,61.63057377,42915,76.63392857,30870,69.47069943,41219,96.03233773
1394,2013,2013/8/13,20036,40.82647323,30099,61.08867285,46335,82.74107143,22762,51.2242326,41434,96.53324635
1397,2013,2013/8/14,19568,39.87285027,30364,61.62651458,44091,78.73392857,25430,57.22837339,41315,96.25599925
1420,2013,2013/8/26,16871,34.37729236,27268,55.34289947,50240,89.71428571,19889,44.75875416,41622,96.97125017
1424,2013,2013/8/28,20578,41.93088271,29415,59.7004323,48165,86.00892857,15762,35.47123954,41585,96.8850473
1427,2013,2013/8/30,24380,49.67805037,37616,76.34511173,44109,78.76607143,21476,48.33018273,41551,96.80583384
1430,2013,2013/8/31,36091,73.54103839,30594,62.09332061,40965,73.15178571,25272,56.87280583,41532,96.76156749
1434,2013,2013/9/1,33422,68.10253484,36822,74.73361612,52326,93.43928571,18656,41.98397696,41733,97.22985881
1436,2013,2013/9/2,21014,42.81930068,25807,52.37766638,38851,69.37678571,34986,78.73345936,41583,96.88038768
1439,2013,2013/9/3,19100,38.91922732,28439,57.71955105,51769,92.44464286,40572,91.30434783,42059,97.98937608
1443,2013,2013/9/4,16154,32.9162931,31117,63.15479694,53121,94.85892857,32988,74.23710505,41815,97.42090303
1459,2013,2013/9/13,31713,64.62018094,27107,55.01613525,52168,93.15714286,15869,35.71203529,41193,95.97176273
1461,2013,2013/9/14,32237,65.68791263,26955,54.70763735,52410,93.58928571,18562,41.77243676,41180,95.94147523
1463,2013,2013/9/15,26845,54.70087212,33258,67.50015222,41867,74.7625,29528,66.45062562,41076,95.69917525
1465,2013,2013/9/16,24933,50.80487407,38247,77.62578393,40818,72.88928571,21393,48.14339725,41050,95.63860025
1467,2013,2013/9/17,26304,53.59850029,36005,73.07543991,53393,95.34464286,30353,68.30722837,41078,95.70383486
1470,2013,2013/9/18,27305,55.63819382,43736,88.76621136,52650,94.01785714,42182,94.92753623,41171,95.92050697
1471,2013,2013/9/19,22763,46.38316081,32315,65.58624749,53062,94.75357143,32267,72.61454676,41128,95.82032524
1488,2013,2013/9/27,31037,63.24272557,48775,98.99332264,47302,84.46785714,14784,33.27032136,41625,96.9782396
1491,2013,2013/9/28,29673,60.46336295,33078,67.13482576,52367,93.5125,18012,40.53470159,41377,96.40044732
1494,2013,2013/9/29,30420,61.98549189,29779,60.43920359,52879,94.42678571,17428,39.22045189,41221,96.03699734
1508,2014,2014/4/11,33349,67.95378596,22550,45.76728705,52396,93.56428571,17557,39.51075704,41103,95.76208005
1510,2014,2014/4/12,38374,78.19300677,25393,51.53741552,48367,86.36964286,34839,78.4026465,41201,95.99040119
1513,2014,2014/4/13,31757,64.7098378,22745,46.16305738,53231,95.05535714,43405,97.67980916,41495,96.67536461
1517,2014,2014/4/15,21969,44.76526204,35705,72.46656248,47680,85.14285714,25035,56.3394545,42166,98.23866549
1520,2014,2014/4/16,19673,40.08680414,31352,63.63175093,37447,66.86964286,27032,60.83355838,41157,95.88788966
1538,2014,2014/4/25,28168,57.39669085,33563,68.11917761,37715,67.34821429,35213,79.24430642,41577,96.86640883
1541,2014,2014/4/26,35462,72.25935284,25434,51.62062877,44826,80.04642857,32657,73.49221352,41707,97.16928382
1544,2014,2014/4/27,30022,61.17450485,27165,55.13385156,51699,92.31964286,14089,31.70627419,41917,97.6585434
1547,2014,2014/4/28,17127,34.89893227,35191,71.42335248,44866,80.11785714,16542,37.22657305,42469,98.94459718
1549,2014,2014/4/29,19702,40.14589616,22989,46.65827769,45241,80.7875,18228,41.02079395,42773,99.65285867
1550,2014,2014/4/30,19135,38.99054528,42040,85.32402427,52359,93.49821429,17832,40.12962463,42890,99.92544616
1571,2014,2014/5/12,16555,33.7333931,38688,78.52083376,43068,76.90714286,22553,50.75389324,41296,96.21173291
1574,2014,2014/5/13,19025,38.76640313,26242,53.26053865,49171,87.80535714,27719,62.37960212,42088,98.0569405
1577,2014,2014/5/14,18325,37.34004401,27838,56.4997666,47199,84.28392857,17682,39.79206049,41530,96.75690788
1580,2014,2014/5/16,31154,63.48113131,35384,71.81506363,51369,91.73035714,19136,43.06418219,41533,96.7638973
1583,2014,2014/5/17,36688,74.75751895,40508,82.21469018,37187,66.40535714,16079,36.18462508,42164,98.23400587
1586,2014,2014/5/18,35406,72.14524411,31046,63.01069595,50349,89.90892857,21263,47.85084166,41438,96.54256558
1598,2014,2014/5/26,35580,72.49979623,30411,61.72190538,45505,81.25892857,32167,72.38950401,41506,96.7009925
1601,2014,2014/5/27,17862,36.39660934,36468,74.01514075,46013,82.16607143,18876,42.47907102,41253,96.11155119
1604,2014,2014/5/28,22233,45.3032032,29682,60.24233322,41129,73.44464286,17923,40.33441354,41597,96.91300499
1607,2014,2014/5/29,18457,37.60901459,26199,53.17326622,39643,70.79107143,25346,57.03933747,41819,97.43022226
1609,2014,2014/5/30,19826,40.39856549,26521,53.82679467,47503,84.82678571,29172,65.6494734,41619,96.96426075
1611,2014,2014/5/31,23765,48.424892,40474,82.14568407,49455,88.3125,27046,60.86506436,41551,96.80583384
1613,2014,2014/6/1,24119,49.14622219,38111,77.34975949,51020,91.10714286,27523,61.93851832,41514,96.71963096
1623,2014,2014/6/6,24504,49.9307197,27875,56.57486148,37336,66.67142857,18755,42.20676929,41724,97.20889055
1627,2014,2014/6/7,29278,59.65848887,33648,68.29169288,44477,79.42321429,31119,70.0310559,42590,99.22650389
1630,2014,2014/6/8,26534,54.06716114,41238,83.69629194,45540,81.32142857,43474,97.83508867,42257,98.45067797
1634,2014,2014/6/9,18805,38.31811884,36619,74.32160906,42831,76.48392857,32406,72.9273562,41060,95.66189833
1636,2014,2014/6/10,17667,35.99926644,37078,75.25319153,51422,91.825,25897,58.27932307,41186,95.95545408
1648,2014,2014/6/16,18262,37.21167169,34554,70.13050273,52519,93.78392857,31527,70.94923035,41437,96.54023578
1650,2014,2014/6/17,18148,36.97937892,48533,98.50216151,44077,78.70892857,20267,45.60941579,41296,96.21173291
1652,2014,2014/6/18,19711,40.16423506,32926,66.82632786,44175,78.88392857,19079,42.93590782,41911,97.64456456
1656,2014,2014/6/19,22559,45.96747901,33924,68.85186012,46069,82.26607143,20312,45.71068503,41597,96.91300499
1657,2014,2014/6/20,29295,59.69312902,26782,54.35651803,48624,86.82857143,19250,43.32073094,41545,96.79185499
1660,2014,2014/6/21,37916,77.25976037,27601,56.01875342,48159,85.99821429,31126,70.04680889,41404,96.46335213
1662,2014,2014/6/22,27862,56.77316815,26212,53.19965091,50910,90.91071429,36127,81.30119723,41067,95.67820698
1666,2014,2014/6/24,20945,42.67870242,36110,73.28854702,47739,85.24821429,28065,63.15825007,41258,96.12320022
1669,2014,2014/6/25,21269,43.33890293,35930,72.92322056,45627,81.47678571,27374,61.60320461,41704,97.16229439
1697,2014,2014/7/7,17103,34.85002853,35743,72.54368696,46300,82.67857143,42702,96.09775857,41824,97.4418713
1699,2014,2014/7/8,18319,37.32781808,33082,67.14294413,50199,89.64107143,31513,70.91772437,41546,96.7941848
1701,2014,2014/7/9,18268,37.22389763,36874,74.83915488,50332,89.87857143,33521,75.43658295,41500,96.68701365
1716,2014,2014/7/18,32619,66.46629717,30728,62.36528587,46073,82.27321429,30973,69.70249347,41156,95.88555985
1717,2014,2014/7/19,32528,66.28087049,38487,78.11288588,51794,92.48928571,28820,64.85732289,41046,95.62928102
1720,2014,2014/7/20,37131,75.66020051,44611,90.54210387,47131,84.1625,33779,76.01719327,41024,95.57802526
1721,2014,2014/7/21,25907,52.7895509,40382,81.95896166,49630,88.625,39402,88.67134756,41541,96.78253576
1723,2014,2014/7/22,29515,60.14141332,35043,71.12297295,47386,84.61785714,30861,69.45044558,41152,95.87624062
1725,2014,2014/7/23,24174,49.25829326,35804,72.66749203,51163,91.3625,28591,64.34197498,41321,96.2699781
1740,2014,2014/7/31,20145,41.04857772,32585,66.13423718,47900,85.53571429,27188,61.18462508,41181,95.94380504
1743,2014,2014/8/1,22766,46.38927378,32538,66.03884638,53354,95.275,23902,53.78972005,41427,96.5169377
1746,2014,2014/8/2,33151,67.5503301,42310,85.87201396,44713,79.84464286,24968,56.18867585,41069,95.6828666
1749,2014,2014/8/3,26913,54.83943272,30394,61.68740233,53166,94.93928571,21786,49.02781528,41647,97.02949536
1753,2014,2014/8/5,16677,33.98198712,28834,58.52123967,53051,94.73392857,21156,47.61004591,41261,96.13018965
1756,2014,2014/8/6,16157,32.92240606,30674,62.25568793,47272,84.41428571,30818,69.3536772,41288,96.19309445
1758,2014,2014/8/7,17809,36.28861358,31109,63.13856021,50849,90.80178571,43926,98.85228193,41753,97.27645496
1760,2014,2014/8/8,21782,44.38422039,40509,82.21671977,43357,77.42321429,37169,83.64614277,42060,97.99170589
1761,2014,2014/8/9,24993,50.92713343,33711,68.41955714,45459,81.17678571,18564,41.77693762,41459,96.59149154
1762,2014,2014/8/10,22104,45.04034559,25256,51.25936149,46641,83.2875,14316,32.21712125,41794,97.37197707
1781,2014,2014/8/22,24835,50.6051838,23122,46.92821335,39596,70.70714286,16335,36.76073454,42242,98.41573086
1784,2014,2014/8/23,30583,62.3176298,24586,49.89953522,44374,79.23928571,16025,36.06310199,42272,98.48562509
1787,2014,2014/8/24,20852,42.48920042,26102,52.97639585,51215,91.45535714,17558,39.51300747,42317,98.59046643
1792,2014,2014/8/26,21758,44.33531665,29031,58.92106919,47290,84.44642857,24541,55.22774327,41725,97.21122035
1796,2014,2014/8/27,28394,57.85720108,28983,58.8236488,41857,74.74464286,17311,38.95715186,41425,96.51227809
1799,2014,2014/8/29,22585,46.02045807,24866,50.46782083,43352,77.41428571,18076,40.67872896,41907,97.63524533
1802,2014,2014/8/30,27272,55.57095118,23775,48.25353656,43074,76.91785714,34472,77.57673958,41851,97.50477611
1805,2014,2014/8/31,22948,46.76012715,37022,75.13953441,50823,90.75535714,40660,91.50238545,41052,95.64325987
1828,2014,2014/9/12,31238,63.6522944,33764,68.52712549,43460,77.60714286,32480,73.09388784,41050,95.63860025
1830,2014,2014/9/13,32429,66.07914255,29036,58.93121715,41886,74.79642857,19770,44.49095328,41071,95.68752621
1832,2014,2014/9/14,26075,53.13187709,35043,71.12297295,45213,80.7375,33669,75.76964623,41017,95.5617166
1835,2014,2014/9/15,21731,44.28029994,35804,72.66749203,45586,81.40357143,38589,86.84174993,41348,96.3328829
1838,2014,2014/9/16,26339,53.66981824,32585,66.13423718,53500,95.53571429,17832,40.12962463,41397,96.44704347
1841,2014,2014/9/17,19272,39.26970413,32538,66.03884638,49251,87.94821429,22553,50.75389324,41935,97.70047994
1859,2014,2014/9/26,41963,85.50615372,42310,85.87201396,53387,95.33392857,27719,62.37960212,41683,97.11336844
1861,2014,2014/9/27,39843,81.18632325,30394,61.68740233,43328,77.37142857,17682,39.79206049,41293,96.20474349
