x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
246,2010,2010/8/4,15670,31.93006765,38256,77.64405025,43506,77.68928571,42072,94.6799892,40872,95.22389451
249,2010,2010/8/5,16638,33.90251854,43549,88.38667776,39897,71.24464286,27560,62.02178414,42722,99.53403849
251,2010,2010/8/6,22168,45.17075556,37278,75.65910982,40860,72.96428571,23249,52.32019084,42293,98.53455105
254,2010,2010/8/7,48946,99.73510474,39142,79.44226827,38886,69.43928571,28335,63.76586551,42834,99.79497693
255,2010,2010/8/8,27856,56.76094221,45264,91.86742709,48988,87.47857143,25897,58.27932307,32698,76.18004753
270,2010,2010/8/17,21502,43.81367675,48133,97.69032494,44739,79.89107143,20075,45.17733369,36104,84.11537207
272,2010,2010/8/18,15509,31.60200505,34172,69.3551988,39153,69.91607143,21966,49.43289225,36310,84.59531243
274,2010,2010/8/19,17385,35.42464749,34485,69.99046092,44896,80.17142857,20983,47.22072194,38013,88.5629747
276,2010,2010/8/20,26294,53.57812373,27675,56.16894319,43639,77.92678571,34233,77.03888739,41250,96.10456176
278,2010,2010/8/21,37631,76.67902845,41964,85.16977532,49540,88.46428571,37424,84.2200018,38735,90.24509576
280,2010,2010/8/22,30397,61.9386258,45322,91.98514339,44268,79.05,30528,68.7010532,30224,70.41610363
300,2010,2010/8/30,17829,36.3293667,38343,77.82062471,45104,80.54285714,26168,58.88918895,31099,72.45468524
303,2010,2010/8/31,16250,33.11190806,30179,61.25104017,46418,82.88928571,23250,52.32244126,31186,72.6573785
306,2010,2010/9/1,17599,35.86070584,40237,81.6646709,49435,88.27678571,23574,53.0515798,36076,84.05013746
310,2010,2010/9/3,24748,50.42790773,29164,59.19100485,44788,79.97857143,20071,45.16833198,34685,80.80937515
313,2010,2010/9/4,31605,64.40011411,28271,57.37857969,44896,80.17142857,20851,46.9236655,38434,89.54382368
316,2010,2010/9/5,25416,51.78906186,25213,51.17208906,45164,80.65,28456,64.03816725,41835,97.46749918
319,2010,2010/9/6,31879,64.95843182,37265,75.63272513,37080,66.21428571,33662,75.75389324,41767,97.30907227
321,2010,2010/9/7,19417,39.56516424,48023,97.46706988,43046,76.86785714,41123,92.54433342,41113,95.78537813
324,2010,2010/9/8,19972,40.69606325,41504,84.23616326,48220,86.10714286,33876,76.23548474,37449,87.24896324
347,2010,2010/9/21,37460,76.33058929,34089,69.18674271,43758,78.13928571,35310,79.46259789,38228,89.06388332
349,2010,2010/9/22,29903,60.9320238,40532,82.26340038,38449,68.65892857,35124,79.04401836,37261,86.81095941
351,2010,2010/9/23,30093,61.31917842,30218,61.33019423,40191,71.76964286,26131,58.80592313,42409,98.80480872
354,2010,2010/9/24,38516,78.4823539,49071,99.59408171,37402,66.78928571,22739,51.17247277,42653,99.37328177
357,2010,2010/9/25,41477,84.51585296,43402,88.08832782,44166,78.86785714,27619,62.15455937,42822,99.76701924
361,2010,2010/9/26,37911,77.24957209,32594,66.1525035,33728,60.22857143,29400,66.16257089,42048,97.96374819
380,2011,2011/4/8,48027,97.86249898,32085,65.11944146,33040,59,28576,64.30821856,41742,97.25082708
381,2011,2011/4/9,20719,42.21819219,34430,69.87883339,41918,74.85357143,24368,54.8384193,42092,98.06625973
384,2011,2011/4/10,19718,40.17849866,33296,67.57727669,38007,67.86964286,32585,73.33018273,40870,95.21923489
386,2011,2011/4/11,15746,32.0849295,30285,61.46617686,34288,61.22857143,42420,95.463138,41960,97.75872513
388,2011,2011/4/12,16645,33.91678213,40264,81.71946987,31614,56.45357143,17379,39.11018093,42060,97.99170589
392,2011,2011/4/13,17660,35.98500285,31079,63.07767246,27439,48.99821429,17057,38.38554325,42404,98.79315969
395,2011,2011/4/15,23090,47.04947428,30320,61.53721256,28292,50.52142857,27056,60.88756864,42395,98.77219142
397,2011,2011/4/16,25590,52.14361399,27758,56.33739928,41596,74.27857143,33572,75.55135476,42295,98.53921066
400,2011,2011/4/17,26195,53.37639579,34477,69.97422419,29473,52.63035714,40038,90.1026195,41982,97.8099809
416,2011,2011/4/25,19586,39.90952808,33684,68.36475817,30711,54.84107143,18288,41.15581961,42132,98.15945203
