Date,away_team,home_team
2015/5/31,NY Yankees,Oakland
2015/5/31,Atlanta,San Francisco
2015/5/31,Cleveland,Seattle
2015/5/31,Detroit,LA Angels
2015/6/1,Toronto,Washington
2015/6/1,Minnesota,Boston
2015/6/1,Chicago Cubs,Miami
2015/6/1,Baltimore,Houston
2015/6/1,Milwaukee,St. Louis
2015/6/1,LA Dodgers,Colorado
2015/6/1,Atlanta,Arizona
2015/6/1,Tampa Bay,LA Angels
2015/6/1,NY Yankees,Seattle
2015/6/1,NY Mets,San Diego
2015/6/1,Pittsburgh,San Francisco
2015/6/2,Toronto,Washington
2015/6/2,Cincinnati,Philadelphia
2015/6/2,Oakland,Detroit
2015/6/2,Minnesota,Boston
2015/6/2,Chicago Cubs,Miami
2015/6/2,Chicago White Sox,Texas
2015/6/2,Cleveland,Kansas City
2015/6/2,Baltimore,Houston
2015/6/2,Milwaukee,St. Louis
2015/6/2,LA Dodgers,Colorado
2015/6/2,Atlanta,Arizona
2015/6/2,Tampa Bay,LA Angels
2015/6/2,NY Yankees,Seattle
2015/6/2,NY Mets,San Diego
2015/6/2,Pittsburgh,San Francisco
2015/6/3,Milwaukee,St. Louis
2015/6/3,NY Yankees,Seattle
2015/6/3,Atlanta,Arizona
2015/6/3,Pittsburgh,San Francisco
2015/6/3,Toronto,Washington
2015/6/3,Cincinnati,Philadelphia
2015/6/3,Oakland,Detroit
2015/6/3,Minnesota,Boston
2015/6/3,Chicago Cubs,Miami
2015/6/3,Chicago White Sox,Texas
2015/6/3,Cleveland,Kansas City
2015/6/3,Baltimore,Houston
2015/6/3,LA Dodgers,Colorado
2015/6/3,NY Mets,San Diego
2015/6/3,Tampa Bay,LA Angels
2015/6/4,Oakland,Detroit
2015/6/4,Baltimore,Houston
2015/6/4,Minnesota,Boston
2015/6/4,Chicago Cubs,Washington
2015/6/4,Cincinnati,Philadelphia
2015/6/4,Chicago White Sox,Texas
2015/6/4,Cleveland,Kansas City
2015/6/4,NY Mets,Arizona
2015/6/4,Tampa Bay,Seattle
2015/6/4,St. Louis,LA Dodgers
2015/6/5,Baltimore,Cleveland
2015/6/5,LA Angels,NY Yankees
2015/6/5,Chicago Cubs,Washington
2015/6/5,San Francisco,Philadelphia
2015/6/5,Houston,Toronto
2015/6/5,Oakland,Boston
2015/6/5,San Diego,Cincinnati
2015/6/5,Pittsburgh,Atlanta
2015/6/5,Detroit,Chicago White Sox
2015/6/5,Texas,Kansas City
2015/6/5,Milwaukee,Minnesota
2015/6/5,Miami,Colorado
2015/6/5,NY Mets,Arizona
2015/6/5,Tampa Bay,Seattle
2015/6/5,St. Louis,LA Dodgers
2015/6/6,Chicago Cubs,Washington
2015/6/6,Houston,Toronto
2015/6/6,Texas,Kansas City
2015/6/6,Milwaukee,Minnesota
2015/6/6,San Francisco,Philadelphia
2015/6/6,Oakland,Boston
2015/6/6,Baltimore,Cleveland
2015/6/6,San Diego,Cincinnati
2015/6/6,Miami,Colorado
2015/6/6,Pittsburgh,Atlanta
2015/6/6,Detroit,Chicago White Sox
2015/6/6,LA Angels,NY Yankees
2015/6/6,Tampa Bay,Seattle
2015/6/6,St. Louis,LA Dodgers
2015/6/6,NY Mets,Arizona
2015/6/7,St. Louis,LA Dodgers
2015/6/7,Baltimore,Cleveland
2015/6/7,LA Angels,NY Yankees
2015/6/7,Houston,Toronto
2015/6/7,San Diego,Cincinnati
2015/6/7,Oakland,Boston
2015/6/7,Pittsburgh,Atlanta
2015/6/7,San Francisco,Philadelphia
2015/6/7,Detroit,Chicago White Sox
2015/6/7,Texas,Kansas City
2015/6/7,Milwaukee,Minnesota
2015/6/7,Chicago Cubs,Washington
2015/6/7,Tampa Bay,Seattle
2015/6/7,Miami,Colorado
2015/6/7,NY Mets,Arizona
2015/6/8,Milwaukee,Pittsburgh
2015/6/8,Miami,Toronto
2015/6/8,San Diego,Atlanta
2015/6/8,Philadelphia,Cincinnati
2015/6/8,Houston,Chicago White Sox
2015/6/8,Kansas City,Minnesota
2015/6/8,St. Louis,Colorado
2015/6/8,Arizona,LA Dodgers
2015/6/9,Boston,Baltimore
2015/6/9,Seattle,Cleveland
2015/6/9,Washington,NY Yankees
2015/6/9,Milwaukee,Pittsburgh
2015/6/9,Miami,Toronto
2015/6/9,Chicago Cubs,Detroit
2015/6/9,San Diego,Atlanta
2015/6/9,Philadelphia,Cincinnati
2015/6/9,San Francisco,NY Mets
2015/6/9,LA Angels,Tampa Bay
2015/6/9,Houston,Chicago White Sox
2015/6/9,Kansas City,Minnesota
2015/6/9,St. Louis,Colorado
2015/6/9,Texas,Oakland
2015/6/9,Arizona,LA Dodgers
2015/6/10,Philadelphia,Cincinnati
2015/6/10,Miami,Toronto
2015/6/10,Washington,NY Yankees
2015/6/10,St. Louis,Colorado
2015/6/10,Boston,Baltimore
2015/6/10,Seattle,Cleveland
2015/6/10,Milwaukee,Pittsburgh
2015/6/10,Chicago Cubs,Detroit
2015/6/10,San Diego,Atlanta
2015/6/10,San Francisco,NY Mets
2015/6/10,LA Angels,Tampa Bay
2015/6/10,Houston,Chicago White Sox
2015/6/10,Kansas City,Minnesota
2015/6/10,Texas,Oakland
2015/6/10,Arizona,LA Dodgers
2015/6/11,Seattle,Cleveland
2015/6/11,San Diego,Atlanta
2015/6/11,Texas,Oakland
2015/6/11,Boston,Baltimore
2015/6/11,San Francisco,NY Mets
2015/6/11,Colorado,Miami
2015/6/11,LA Angels,Tampa Bay
2015/6/11,Cincinnati,Chicago Cubs
2015/6/11,Washington,Milwaukee
2015/6/12,Cincinnati,Chicago Cubs
2015/6/12,NY Yankees,Baltimore
2015/6/12,Philadelphia,Pittsburgh
2015/6/12,Cleveland,Detroit
2015/6/12,Toronto,Boston
2015/6/12,Atlanta,NY Mets
2015/6/12,Colorado,Miami
2015/6/12,Chicago White Sox,Tampa Bay
2015/6/12,Minnesota,Texas
2015/6/12,Washington,Milwaukee
2015/6/12,Seattle,Houston
2015/6/12,Kansas City,St. Louis
2015/6/12,Oakland,LA Angels
2015/6/12,LA Dodgers,San Diego
2015/6/12,Arizona,San Francisco
2015/6/13,Toronto,Boston
2015/6/13,Minnesota,Texas
2015/6/13,Philadelphia,Pittsburgh
2015/6/13,Washington,Milwaukee
2015/6/13,Seattle,Houston
2015/6/13,Atlanta,NY Mets
2015/6/13,Kansas City,St. Louis
2015/6/13,Colorado,Miami
2015/6/13,Chicago White Sox,Tampa Bay
2015/6/13,Cleveland,Detroit
2015/6/13,NY Yankees,Baltimore
2015/6/13,Cincinnati,Chicago Cubs
2015/6/13,Arizona,San Francisco
2015/6/13,Oakland,LA Angels
2015/6/13,LA Dodgers,San Diego
2015/6/14,Oakland,LA Angels
2015/6/14,Cincinnati,Chicago Cubs
2015/6/14,Cleveland,Detroit
2015/6/14,Atlanta,NY Mets
2015/6/14,Colorado,Miami
2015/6/14,Chicago White Sox,Tampa Bay
2015/6/14,NY Yankees,Baltimore
2015/6/14,Toronto,Boston
2015/6/14,Philadelphia,Pittsburgh
2015/6/14,Washington,Milwaukee
2015/6/14,Seattle,Houston
2015/6/14,Kansas City,St. Louis
2015/6/14,Minnesota,Texas
2015/6/14,Arizona,San Francisco
2015/6/14,LA Dodgers,San Diego
2015/6/15,Philadelphia,Baltimore
2015/6/15,Chicago White Sox,Pittsburgh
2015/6/15,Cincinnati,Detroit
2015/6/15,Atlanta,Boston
2015/6/15,Toronto,NY Mets
2015/6/15,NY Yankees,Miami
2015/6/15,Washington,Tampa Bay
2015/6/15,LA Dodgers,Texas
2015/6/15,Cleveland,Chicago Cubs
2015/6/15,Kansas City,Milwaukee
2015/6/15,Colorado,Houston
2015/6/15,Minnesota,St. Louis
2015/6/15,Arizona,LA Angels
2015/6/15,Oakland,San Diego
2015/6/15,Seattle,San Francisco
2015/6/16,Minnesota,St. Louis
2015/6/16,Colorado,Houston
2015/6/16,Oakland,San Diego
2015/6/16,Seattle,San Francisco
2015/6/16,Atlanta,Boston
2015/6/16,Philadelphia,Baltimore
2015/6/16,Chicago White Sox,Pittsburgh
2015/6/16,Cincinnati,Detroit
2015/6/16,Toronto,NY Mets
2015/6/16,NY Yankees,Miami
2015/6/16,Washington,Tampa Bay
2015/6/16,LA Dodgers,Texas
2015/6/16,Cleveland,Chicago Cubs
2015/6/16,Kansas City,Milwaukee
2015/6/16,Arizona,LA Angels
2015/6/17,Chicago Cubs,Cleveland
2015/6/17,Miami,NY Yankees
2015/6/17,Tampa Bay,Washington
2015/6/17,Baltimore,Philadelphia
2015/6/17,NY Mets,Toronto
2015/6/17,Boston,Atlanta
2015/6/17,Detroit,Cincinnati
2015/6/17,Pittsburgh,Chicago White Sox
2015/6/17,Milwaukee,Kansas City
2015/6/17,St. Louis,Minnesota
2015/6/17,Houston,Colorado
2015/6/17,LA Angels,Arizona
2015/6/17,San Diego,Oakland
2015/6/17,San Francisco,Seattle
2015/6/17,Texas,LA Dodgers
2015/6/18,Baltimore,Philadelphia
2015/6/18,St. Louis,Minnesota
2015/6/18,Houston,Colorado
2015/6/18,San Diego,Oakland
2015/6/18,LA Angels,Arizona
2015/6/18,Chicago Cubs,Cleveland
2015/6/18,Miami,NY Yankees
2015/6/18,Tampa Bay,Washington
2015/6/18,NY Mets,Toronto
2015/6/18,Boston,Atlanta
2015/6/18,Detroit,Cincinnati
2015/6/18,Pittsburgh,Chicago White Sox
2015/6/18,Milwaukee,Kansas City
2015/6/18,San Francisco,Seattle
2015/6/18,Texas,LA Dodgers
2015/6/19,Tampa Bay,Cleveland
2015/6/19,Detroit,NY Yankees
2015/6/19,Pittsburgh,Washington
2015/6/19,St. Louis,Philadelphia
2015/6/19,Baltimore,Toronto
2015/6/19,Miami,Cincinnati
2015/6/19,NY Mets,Atlanta
2015/6/19,Texas,Chicago White Sox
2015/6/19,Boston,Kansas City
2015/6/19,Chicago Cubs,Minnesota
2015/6/19,Milwaukee,Colorado
2015/6/19,LA Angels,Oakland
2015/6/19,San Diego,Arizona
2015/6/19,Houston,Seattle
2015/6/19,San Francisco,LA Dodgers
2015/6/20,Baltimore,Toronto
2015/6/20,Texas,Chicago White Sox
2015/6/20,Chicago Cubs,Minnesota
2015/6/20,St. Louis,Philadelphia
2015/6/20,LA Angels,Oakland
2015/6/20,Pittsburgh,Washington
2015/6/20,NY Mets,Atlanta
2015/6/20,Miami,Cincinnati
2015/6/20,Milwaukee,Colorado
2015/6/20,Tampa Bay,Cleveland
2015/6/20,Boston,Kansas City
2015/6/20,Detroit,NY Yankees
2015/6/20,San Francisco,LA Dodgers
2015/6/20,Houston,Seattle
2015/6/20,San Diego,Arizona
2015/6/21,Detroit,NY Yankees
2015/6/21,San Francisco,LA Dodgers
2015/6/21,Tampa Bay,Cleveland
2015/6/21,Baltimore,Toronto
2015/6/21,Miami,Cincinnati
2015/6/21,Pittsburgh,Washington
2015/6/21,St. Louis,Philadelphia
2015/6/21,Texas,Chicago White Sox
2015/6/21,Boston,Kansas City
2015/6/21,Chicago Cubs,Minnesota
2015/6/21,LA Angels,Oakland
2015/6/21,Houston,Seattle
2015/6/21,Milwaukee,Colorado
2015/6/21,San Diego,Arizona
2015/6/21,NY Mets,Atlanta
2015/6/22,Detroit,Cleveland
2015/6/22,Philadelphia,NY Yankees
2015/6/22,Toronto,Tampa Bay
2015/6/22,LA Dodgers,Chicago Cubs
2015/6/22,Chicago White Sox,Minnesota
2015/6/22,Houston,LA Angels
2015/6/22,Kansas City,Seattle
2015/6/23,Detroit,Cleveland
2015/6/23,Philadelphia,NY Yankees
2015/6/23,Atlanta,Washington
2015/6/23,Cincinnati,Pittsburgh
2015/6/23,Baltimore,Boston
2015/6/23,St. Louis,Miami
2015/6/23,Toronto,Tampa Bay
2015/6/23,Oakland,Texas
2015/6/23,LA Dodgers,Chicago Cubs
2015/6/23,NY Mets,Milwaukee
2015/6/23,Chicago White Sox,Minnesota
2015/6/23,Arizona,Colorado
2015/6/23,Houston,LA Angels
2015/6/23,Kansas City,Seattle
2015/6/23,San Diego,San Francisco
2015/6/24,Detroit,Cleveland
2015/6/24,Toronto,Tampa Bay
2015/6/24,Philadelphia,NY Yankees
2015/6/24,Chicago White Sox,Minnesota
2015/6/24,Houston,LA Angels
2015/6/24,Atlanta,Washington
2015/6/24,Cincinnati,Pittsburgh
2015/6/24,Baltimore,Boston
2015/6/24,St. Louis,Miami
2015/6/24,Oakland,Texas
2015/6/24,LA Dodgers,Chicago Cubs
2015/6/24,NY Mets,Milwaukee
2015/6/24,Arizona,Colorado
2015/6/24,Kansas City,Seattle
2015/6/24,San Diego,San Francisco
2015/6/25,Chicago White Sox,Detroit
2015/6/25,Baltimore,Boston
2015/6/25,Oakland,Texas
2015/6/25,NY Mets,Milwaukee
2015/6/25,LA Dodgers,Chicago Cubs
2015/6/25,Arizona,Colorado
2015/6/25,Atlanta,Washington
2015/6/25,Cincinnati,Pittsburgh
2015/6/25,St. Louis,Miami
2015/6/25,NY Yankees,Houston
2015/6/25,San Diego,San Francisco
2015/6/26,Cleveland,Baltimore
2015/6/26,Washington,Philadelphia
2015/6/26,Atlanta,Pittsburgh
2015/6/26,Texas,Toronto
2015/6/26,Chicago White Sox,Detroit
2015/6/26,Cincinnati,NY Mets
2015/6/26,LA Dodgers,Miami
2015/6/26,Boston,Tampa Bay
2015/6/26,Minnesota,Milwaukee
2015/6/26,NY Yankees,Houston
2015/6/26,Chicago Cubs,St. Louis
2015/6/26,Seattle,LA Angels
2015/6/26,Kansas City,Oakland
2015/6/26,Arizona,San Diego
2015/6/26,Colorado,San Francisco
2015/6/27,Texas,Toronto
2015/6/27,Minnesota,Milwaukee
2015/6/27,Washington,Philadelphia
2015/6/27,Kansas City,Oakland
2015/6/27,Atlanta,Pittsburgh
2015/6/27,Colorado,San Francisco
2015/6/27,NY Yankees,Houston
2015/6/27,Cincinnati,NY Mets
2015/6/27,LA Dodgers,Miami
2015/6/27,Boston,Tampa Bay
2015/6/27,Chicago White Sox,Detroit
2015/6/27,Cleveland,Baltimore
2015/6/27,Seattle,LA Angels
2015/6/27,Chicago Cubs,St. Louis
2015/6/27,Arizona,San Diego
2015/6/28,Texas,Toronto
2015/6/28,Chicago White Sox,Detroit
2015/6/28,Cincinnati,NY Mets
2015/6/28,LA Dodgers,Miami
2015/6/28,Boston,Tampa Bay
2015/6/28,Cleveland,Baltimore
2015/6/28,Washington,Philadelphia
2015/6/28,Atlanta,Pittsburgh
2015/6/28,Minnesota,Milwaukee
2015/6/28,NY Yankees,Houston
2015/6/28,Chicago Cubs,St. Louis
2015/6/28,Seattle,LA Angels
2015/6/28,Kansas City,Oakland
2015/6/28,Colorado,San Francisco
2015/6/28,Arizona,San Diego
2015/6/29,Texas,Baltimore
2015/6/29,Milwaukee,Philadelphia
2015/6/29,Boston,Toronto
2015/6/29,Minnesota,Cincinnati
2015/6/29,Cleveland,Tampa Bay
2015/6/29,Kansas City,Houston
2015/6/29,LA Dodgers,Arizona
2015/6/29,NY Yankees,LA Angels
2015/6/29,Colorado,Oakland
2015/6/30,Texas,Baltimore
2015/6/30,Milwaukee,Philadelphia
2015/6/30,Boston,Toronto
2015/6/30,Pittsburgh,Detroit
2015/6/30,Washington,Atlanta
2015/6/30,Minnesota,Cincinnati
2015/6/30,Chicago Cubs,NY Mets
2015/6/30,San Francisco,Miami
2015/6/30,Cleveland,Tampa Bay
2015/6/30,Kansas City,Houston
2015/6/30,Chicago White Sox,St. Louis
2015/6/30,LA Dodgers,Arizona
2015/6/30,NY Yankees,LA Angels
2015/6/30,Colorado,Oakland
2015/6/30,Seattle,San Diego
2015/7/1,Minnesota,Cincinnati
2015/7/1,Boston,Toronto
2015/7/1,Colorado,Oakland
2015/7/1,Seattle,San Diego
2015/7/1,Texas,Baltimore
2015/7/1,NY Yankees,LA Angels
2015/7/1,Milwaukee,Philadelphia
2015/7/1,Pittsburgh,Detroit
2015/7/1,Washington,Atlanta
2015/7/1,Chicago Cubs,NY Mets
2015/7/1,San Francisco,Miami
2015/7/1,Cleveland,Tampa Bay
2015/7/1,Kansas City,Houston
2015/7/1,Chicago White Sox,St. Louis
2015/7/1,LA Dodgers,Arizona
2015/7/2,San Francisco,Miami
2015/7/2,Cleveland,Tampa Bay
2015/7/2,Pittsburgh,Detroit
2015/7/2,Chicago Cubs,NY Mets
2015/7/2,Milwaukee,Philadelphia
2015/7/2,Texas,Baltimore
2015/7/2,Boston,Toronto
2015/7/2,Washington,Atlanta
2015/7/2,San Diego,St. Louis
2015/7/2,Minnesota,Kansas City
2015/7/2,Colorado,Arizona
2015/7/2,Seattle,Oakland
2015/7/3,Miami,Chicago Cubs
2015/7/3,San Francisco,Washington
2015/7/3,Tampa Bay,NY Yankees
2015/7/3,Cleveland,Pittsburgh
2015/7/3,Toronto,Detroit
2015/7/3,Houston,Boston
2015/7/3,Milwaukee,Cincinnati
2015/7/3,Philadelphia,Atlanta
2015/7/3,LA Angels,Texas
2015/7/3,Baltimore,Chicago White Sox
2015/7/3,Minnesota,Kansas City
2015/7/3,San Diego,St. Louis
2015/7/3,Seattle,Oakland
2015/7/3,Colorado,Arizona
2015/7/3,NY Mets,LA Dodgers
2015/7/4,San Francisco,Washington
2015/7/4,Tampa Bay,NY Yankees
2015/7/4,Toronto,Detroit
2015/7/4,Houston,Boston
2015/7/4,Baltimore,Chicago White Sox
2015/7/4,San Diego,St. Louis
2015/7/4,Seattle,Oakland
2015/7/4,Cleveland,Pittsburgh
2015/7/4,Minnesota,Kansas City
2015/7/4,Philadelphia,Atlanta
2015/7/4,Miami,Chicago Cubs
2015/7/4,Milwaukee,Cincinnati
2015/7/4,NY Mets,LA Dodgers
2015/7/4,LA Angels,Texas
2015/7/4,Colorado,Arizona
2015/7/5,LA Angels,Texas
2015/7/5,Miami,Chicago Cubs
2015/7/5,Tampa Bay,NY Yankees
2015/7/5,Toronto,Detroit
2015/7/5,Milwaukee,Cincinnati
2015/7/5,Houston,Boston
2015/7/5,Philadelphia,Atlanta
2015/7/5,San Francisco,Washington
2015/7/5,Cleveland,Pittsburgh
2015/7/5,Baltimore,Chicago White Sox
2015/7/5,Minnesota,Kansas City
2015/7/5,San Diego,St. Louis
2015/7/5,Seattle,Oakland
2015/7/5,NY Mets,LA Dodgers
2015/7/5,Colorado,Arizona
2015/7/6,Houston,Cleveland
2015/7/6,Cincinnati,Washington
2015/7/6,San Diego,Pittsburgh
2015/7/6,St. Louis,Chicago Cubs
2015/7/6,Toronto,Chicago White Sox
2015/7/6,Tampa Bay,Kansas City
2015/7/6,Atlanta,Milwaukee
2015/7/6,Baltimore,Minnesota
2015/7/6,Detroit,Seattle
2015/7/6,Philadelphia,LA Dodgers
2015/7/6,NY Mets,San Francisco
2015/7/7,Houston,Cleveland
2015/7/7,Oakland,NY Yankees
2015/7/7,Cincinnati,Washington
2015/7/7,San Diego,Pittsburgh
2015/7/7,Miami,Boston
2015/7/7,Arizona,Texas
2015/7/7,St. Louis,Chicago Cubs
2015/7/7,Toronto,Chicago White Sox
2015/7/7,Tampa Bay,Kansas City
2015/7/7,Atlanta,Milwaukee
2015/7/7,Baltimore,Minnesota
2015/7/7,LA Angels,Colorado
2015/7/7,Detroit,Seattle
2015/7/7,Philadelphia,LA Dodgers
2015/7/7,NY Mets,San Francisco
2015/7/8,Baltimore,Minnesota
2015/7/8,Atlanta,Milwaukee
2015/7/8,Detroit,Seattle
2015/7/8,NY Mets,San Francisco
2015/7/8,Houston,Cleveland
2015/7/8,Oakland,NY Yankees
2015/7/8,Cincinnati,Washington
2015/7/8,San Diego,Pittsburgh
2015/7/8,Miami,Boston
2015/7/8,Arizona,Texas
2015/7/8,St. Louis,Chicago Cubs
2015/7/8,Toronto,Chicago White Sox
2015/7/8,Tampa Bay,Kansas City
2015/7/8,LA Angels,Colorado
2015/7/8,Philadelphia,LA Dodgers
2015/7/9,Oakland,NY Yankees
2015/7/9,Toronto,Chicago White Sox
2015/7/9,Tampa Bay,Kansas City
2015/7/9,Houston,Cleveland
2015/7/9,St. Louis,Pittsburgh
2015/7/9,Cincinnati,Miami
2015/7/9,Detroit,Minnesota
2015/7/9,Atlanta,Colorado
2015/7/9,LA Angels,Seattle
2015/7/9,Philadelphia,LA Dodgers
2015/7/10,Chicago White Sox,Chicago Cubs
2015/7/10,Washington,Baltimore
2015/7/10,Oakland,Cleveland
2015/7/10,St. Louis,Pittsburgh
2015/7/10,NY Yankees,Boston
2015/7/10,Arizona,NY Mets
2015/7/10,Cincinnati,Miami
2015/7/10,Houston,Tampa Bay
2015/7/10,San Diego,Texas
2015/7/10,Toronto,Kansas City
2015/7/10,Detroit,Minnesota
2015/7/10,Atlanta,Colorado
2015/7/10,LA Angels,Seattle
2015/7/10,Milwaukee,LA Dodgers
2015/7/10,Philadelphia,San Francisco
2015/7/11,Washington,Baltimore
2015/7/11,Toronto,Kansas City
2015/7/11,Detroit,Minnesota
2015/7/11,Chicago White Sox,Chicago Cubs
2015/7/11,Arizona,NY Mets
2015/7/11,Atlanta,Colorado
2015/7/11,Cincinnati,Miami
2015/7/11,Houston,Tampa Bay
2015/7/11,Oakland,Cleveland
2015/7/11,NY Yankees,Boston
2015/7/11,St. Louis,Pittsburgh
2015/7/11,San Diego,Texas
2015/7/11,Philadelphia,San Francisco
2015/7/11,LA Angels,Seattle
2015/7/11,Milwaukee,LA Dodgers
2015/7/12,Oakland,Cleveland
2015/7/12,Arizona,NY Mets
2015/7/12,Cincinnati,Miami
2015/7/12,Houston,Tampa Bay
2015/7/12,Washington,Baltimore
2015/7/12,NY Yankees,Boston
2015/7/12,Toronto,Kansas City
2015/7/12,Detroit,Minnesota
2015/7/12,Chicago White Sox,Chicago Cubs
2015/7/12,San Diego,Texas
2015/7/12,Philadelphia,San Francisco
2015/7/12,LA Angels,Seattle
2015/7/12,Milwaukee,LA Dodgers
2015/7/12,Atlanta,Colorado
2015/7/12,St. Louis,Pittsburgh
2015/7/14,American,National
2015/7/17,Seattle,NY Yankees
2015/7/17,LA Dodgers,Washington
2015/7/17,Miami,Philadelphia
2015/7/17,Tampa Bay,Toronto
2015/7/17,Baltimore,Detroit
2015/7/17,Cleveland,Cincinnati
2015/7/17,Chicago Cubs,Atlanta
2015/7/17,Kansas City,Chicago White Sox
2015/7/17,Pittsburgh,Milwaukee
2015/7/17,Texas,Houston
2015/7/17,NY Mets,St. Louis
2015/7/17,San Francisco,Arizona
2015/7/17,Boston,LA Angels
2015/7/17,Minnesota,Oakland
2015/7/17,Colorado,San Diego
2015/7/18,Seattle,NY Yankees
2015/7/18,Tampa Bay,Toronto
2015/7/18,Kansas City,Chicago White Sox
2015/7/18,LA Dodgers,Washington
2015/7/18,Miami,Philadelphia
2015/7/18,Baltimore,Detroit
2015/7/18,Pittsburgh,Milwaukee
2015/7/18,Chicago Cubs,Atlanta
2015/7/18,Cleveland,Cincinnati
2015/7/18,Texas,Houston
2015/7/18,NY Mets,St. Louis
2015/7/18,San Francisco,Arizona
2015/7/18,Colorado,San Diego
2015/7/18,Boston,LA Angels
2015/7/18,Minnesota,Oakland
2015/7/19,Seattle,NY Yankees
2015/7/19,Tampa Bay,Toronto
2015/7/19,Baltimore,Detroit
2015/7/19,Cleveland,Cincinnati
2015/7/19,LA Dodgers,Washington
2015/7/19,Miami,Philadelphia
2015/7/19,Kansas City,Chicago White Sox
2015/7/19,Pittsburgh,Milwaukee
2015/7/19,Texas,Houston
2015/7/19,NY Mets,St. Louis
2015/7/19,Minnesota,Oakland
2015/7/19,Colorado,San Diego
2015/7/19,San Francisco,Arizona
2015/7/19,Chicago Cubs,Atlanta
2015/7/19,Boston,LA Angels
2015/7/20,NY Mets,Washington
2015/7/20,Tampa Bay,Philadelphia
2015/7/20,Seattle,Detroit
2015/7/20,LA Dodgers,Atlanta
2015/7/20,Chicago Cubs,Cincinnati
2015/7/20,Pittsburgh,Kansas City
2015/7/20,Texas,Colorado
2015/7/20,Miami,Arizona
2015/7/20,Boston,LA Angels
2015/7/20,San Francisco,San Diego
2015/7/21,Baltimore,NY Yankees
2015/7/21,NY Mets,Washington
2015/7/21,Tampa Bay,Philadelphia
2015/7/21,Seattle,Detroit
2015/7/21,LA Dodgers,Atlanta
2015/7/21,Chicago Cubs,Cincinnati
2015/7/21,St. Louis,Chicago White Sox
2015/7/21,Pittsburgh,Kansas City
2015/7/21,Cleveland,Milwaukee
2015/7/21,Boston,Houston
2015/7/21,Texas,Colorado
2015/7/21,Miami,Arizona
2015/7/21,Minnesota,LA Angels
2015/7/21,Toronto,Oakland
2015/7/21,San Francisco,San Diego
2015/7/22,LA Dodgers,Atlanta
2015/7/22,Chicago Cubs,Cincinnati
2015/7/22,NY Mets,Washington
2015/7/22,Tampa Bay,Philadelphia
2015/7/22,Cleveland,Milwaukee
2015/7/22,Texas,Colorado
2015/7/22,San Francisco,San Diego
2015/7/22,Baltimore,NY Yankees
2015/7/22,Seattle,Detroit
2015/7/22,St. Louis,Chicago White Sox
2015/7/22,Pittsburgh,Kansas City
2015/7/22,Boston,Houston
2015/7/22,Miami,Arizona
2015/7/22,Minnesota,LA Angels
2015/7/22,Toronto,Oakland
2015/7/23,Baltimore,NY Yankees
2015/7/23,Seattle,Detroit
2015/7/23,Minnesota,LA Angels
2015/7/23,Toronto,Oakland
2015/7/23,Chicago White Sox,Cleveland
2015/7/23,Washington,Pittsburgh
2015/7/23,LA Dodgers,NY Mets
2015/7/23,Boston,Houston
2015/7/23,Milwaukee,Arizona
2015/7/23,Miami,San Diego
2015/7/24,Philadelphia,Chicago Cubs
2015/7/24,Chicago White Sox,Cleveland
2015/7/24,Washington,Pittsburgh
2015/7/24,Detroit,Boston
2015/7/24,LA Dodgers,NY Mets
2015/7/24,Baltimore,Tampa Bay
2015/7/24,Houston,Kansas City
2015/7/24,NY Yankees,Minnesota
2015/7/24,Atlanta,St. Louis
2015/7/24,Cincinnati,Colorado
2015/7/24,Milwaukee,Arizona
2015/7/24,Texas,LA Angels
2015/7/24,Toronto,Seattle
2015/7/24,Miami,San Diego
2015/7/24,Oakland,San Francisco
2015/7/25,Detroit,Boston
2015/7/25,Philadelphia,Chicago Cubs
2015/7/25,Oakland,San Francisco
2015/7/25,Toronto,Seattle
2015/7/25,Baltimore,Tampa Bay
2015/7/25,Chicago White Sox,Cleveland
2015/7/25,Washington,Pittsburgh
2015/7/25,Houston,Kansas City
2015/7/25,NY Yankees,Minnesota
2015/7/25,LA Dodgers,NY Mets
2015/7/25,Atlanta,St. Louis
2015/7/25,Cincinnati,Colorado
2015/7/25,Milwaukee,Arizona
2015/7/25,Miami,San Diego
2015/7/25,Texas,LA Angels
2015/7/26,Chicago White Sox,Cleveland
2015/7/26,LA Dodgers,NY Mets
2015/7/26,Baltimore,Tampa Bay
2015/7/26,Detroit,Boston
2015/7/26,Washington,Pittsburgh
2015/7/26,Houston,Kansas City
2015/7/26,NY Yankees,Minnesota
2015/7/26,Atlanta,St. Louis
2015/7/26,Philadelphia,Chicago Cubs
2015/7/26,Texas,LA Angels
2015/7/26,Oakland,San Francisco
2015/7/26,Toronto,Seattle
2015/7/26,Miami,San Diego
2015/7/26,Cincinnati,Colorado
2015/7/26,Milwaukee,Arizona
2015/7/27,Atlanta,Baltimore
2015/7/27,Kansas City,Cleveland
2015/7/27,Chicago White Sox,Boston
2015/7/27,Detroit,Tampa Bay
2015/7/27,NY Yankees,Texas
2015/7/27,Colorado,Chicago Cubs
2015/7/27,Cincinnati,St. Louis
2015/7/27,Arizona,Seattle
2015/7/27,Milwaukee,San Francisco
2015/7/28,Atlanta,Baltimore
2015/7/28,Kansas City,Cleveland
2015/7/28,Philadelphia,Toronto
2015/7/28,Chicago White Sox,Boston
2015/7/28,San Diego,NY Mets
2015/7/28,Washington,Miami
2015/7/28,Detroit,Tampa Bay
